1, 2077, m, 3025, f, 4172, m, 2002, f, 2077 2052 2047 2045 2005 2002 4172 2139 3025 , m2077 f2052 m2047 (m2045) f2005 f2002 (m4172) f2139 f3025 , MFFDDHDD, 2077 3025, 2002 4172, G1, 2, G-2, 0, 6, 2
2, 2077, m, 3025, f, 4172, m, 2002, f, 2077 2052 2047 2046 2005 2002 4172 2139 3025 , m2077 f2052 m2047 (f2046) f2005 f2002 (m4172) f2139 f3025 , MFMDDHDD, 2077 3025, 2002 4172, G1, 2, G-2, 0, 6, 2
3, 2097, m, 2052, f, 2004, m, 2005, f, 2097 2004 2005 2045 2047 2052 , m2097 (m2004) f2005 (m2045) m2047 f2052 , FWFSD, 2052 2097, 2004 2005, G1, 0, G-1, 1, 2, 3
4, 2097, m, 2052, f, 2004, m, 2005, f, 2097 2004 2005 2046 2047 2052 , m2097 (m2004) f2005 (f2046) m2047 f2052 , FWMSD, 2052 2097, 2004 2005, G1, 0, G-1, 1, 2, 3
11, 2077, m, 3025, f, 2004, m, 2005, f, 2077 2052 2047 2045 2005 2004 2002 2139 3025 , m2077 f2052 m2047 (m2045) f2005 (m2004) f2002 f2139 f3025 , MFFDHDDD, 2077 3025, 2004 2005, G2, 1, G-3, 0, 5, 3
12, 2077, m, 3025, f, 2004, m, 2005, f, 2077 2052 2047 2046 2005 2004 2002 2139 3025 , m2077 f2052 m2047 (f2046) f2005 (m2004) f2002 f2139 f3025 , MFMDHDDD, 2077 3025, 2004 2005, G2, 1, G-3, 0, 5, 3
17, 2032, m, 2037, f, 2008, m, 2861, f, 2032 2015 2010 2006 2008 2861 2835 2437 2438 2037 , m2032 m2015 f2010 (m2006) m2008 f2861 (m2835) f2437 m2438 f2037 , FMFSWFDSD, 2032 2037, 2008 2861, G2, 1, G-2, 1, 5, 4
18, 2032, m, 2037, f, 2008, m, 2861, f, 2032 2015 2010 2006 2008 2861 2836 2437 2438 2037 , m2032 m2015 f2010 (m2006) m2008 f2861 (f2836) f2437 m2438 f2037 , FMFSWMDSD, 2032 2037, 2008 2861, G2, 1, G-2, 1, 5, 4
19, 2033, m, 2038, f, 2008, m, 2861, f, 2033 2015 2010 2006 2008 2861 2835 2437 2438 2038 , m2033 m2015 f2010 (m2006) m2008 f2861 (m2835) f2437 m2438 f2038 , FMFSWFDSD, 2033 2038, 2008 2861, G2, 1, G-2, 1, 5, 4
20, 2033, m, 2038, f, 2008, m, 2861, f, 2033 2015 2010 2006 2008 2861 2836 2437 2438 2038 , m2033 m2015 f2010 (m2006) m2008 f2861 (f2836) f2437 m2438 f2038 , FMFSWMDSD, 2033 2038, 2008 2861, G2, 1, G-2, 1, 5, 4
21, 2457, m, 2035, f, 2008, m, 2861, f, 2457 2438 2437 2835 2861 2008 2006 2010 2015 2035 , m2457 m2438 f2437 (m2835) f2861 m2008 (m2006) f2010 m2015 f2035 , FMFDHFDSD, 2035 2457, 2008 2861, G2, 1, G-2, 1, 5, 4
